vehicle_id,time_in_1,time_in_2,time_out_1,time_out_2,time_diff,speed
8,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,27.0,0.0,0.0,25.0,2.8800000000000003
14,3.0,4.0,0.0,0.0,1.0,72.0
32,6.0,0.0,0.0,0.0,0.0,0.0
3,7.0,8.0,0.0,0.0,1.0,72.0
50,0.0,0.0,10.0,12.0,2.0,36.0
59,0.0,0.0,11.0,12.0,1.0,72.0
52,16.0,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,21.0,0.0,0.0,0.0
72,22.0,23.0,0.0,0.0,1.0,72.0
79,0.0,0.0,29.0,30.0,1.0,72.0
88,0.0,0.0,29.0,30.0,1.0,72.0
91,0.0,0.0,32.0,33.0,1.0,72.0
95,32.0,0.0,0.0,50.0,50.0,1.4400000000000002
96,34.0,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,35.0,36.0,1.0,72.0
105,0.0,0.0,37.0,38.0,1.0,72.0
109,0.0,0.0,37.0,39.0,2.0,36.0
127,0.0,0.0,44.0,46.0,2.0,36.0
